age,income,rooms,house_price
65.2,55000.0,6.575,240000.0
78.9,42000.0,6.421,216000.0
61.1,89000.0,7.185,347000.0
45.8,76000.0,6.998,334000.0
54.2,95000.0,7.147,362000.0
58.7,68000.0,6.430,287000.0
66.6,51000.0,6.012,229000.0
96.1,61000.0,6.172,271000.0
100.0,38000.0,5.631,165000.0
85.9,45000.0,6.004,189000.0
94.3,34000.0,6.377,150000.0
82.9,43000.0,6.009,189000.0
39.0,49000.0,5.889,217000.0
61.8,47000.0,5.949,204000.0
84.5,41000.0,6.096,182000.0
56.5,44000.0,5.834,199000.0
29.3,53000.0,5.935,231000.0
81.7,39000.0,5.990,175000.0
36.6,46000.0,5.456,202000.0
69.5,41000.0,5.727,182000.0
